,Close,sent,pos,neg,neu,RSI,MACD,K_percent,R_percent,Price_Rate_Change,On_Balance_Volume,Prediction
0,0.0,0.0,0.07400000000000001,0.094,0.8320000000000001,0.3679727000987217,0.0,0.41842220529349694,0.4184222053104353,0.39398778828552417,0.0,1.0
1,0.013589768590756224,0.0,0.101,0.117,0.782,0.22655801836149708,0.008284833639035927,0.6486735150310687,0.648673515057328,0.6476911484684926,0.03712458464614038,0.0
2,0.0016902743503472983,0.0,0.109,0.123,0.768,0.39544762875240386,0.010867959790511583,0.5772547988779438,0.5772547989013119,0.6702826642693439,0.008066398536960118,1.0
3,0.07288462173843469,1.0,0.084,0.068,0.848,0.46035795692547293,0.0568078732707793,0.9921310601970073,0.9921310602169294,0.6317456367260236,0.05321988439951941,0.0
4,0.06260772475082654,1.0,0.084,0.045,0.871,0.48189768531986615,0.08927431999552893,0.7948071288840731,0.7948071289162482,0.6121944236347966,0.007827722274708293,1.0
5,0.08505461761467104,1.0,0.128,0.067,0.805,0.5310260643622267,0.12966012910520824,0.9085311081906313,0.9085311081970489,0.5304951784684482,0.0456148192453521,1.0
6,0.09154521338023269,1.0,0.075,0.049,0.877,0.6662090751249825,0.16660116899745914,0.9414147851684314,0.9414147851559393,0.6877259738159418,0.0818852883133403,1.0
7,0.10932693254004111,0.0,0.039,0.1,0.861,0.734433498923982,0.20692484290304336,0.9933974543811277,0.993397454451703,0.6595075361773406,0.11119915424301308,1.0
8,0.155978463366931,1.0,0.106,0.059,0.835,0.6976867909303215,0.2660651961325594,0.9813059772450493,0.9813059773151352,0.8295240445914478,0.15482554159073697,0.0
9,0.14712144226818913,1.0,0.129,0.041,0.831,0.6849736100121295,0.3073068690906003,0.9296694451772695,0.9296694451744224,0.9855609402146421,0.1254822326575843,1.0
10,0.15476151532591398,1.0,0.106,0.037000000000000005,0.856,0.6300849551511793,0.34355597221535394,0.9742111567118756,0.9742111567715539,0.9549956131213244,0.16063601541121975,0.0
11,0.1416111313889794,1.0,0.113,0.058,0.8290000000000001,0.7071135406196334,0.363507290665883,0.8975442709037639,0.8975442709400978,0.9578660336636555,0.11247791131512297,0.0
12,0.12176732701298032,1.0,0.139,0.069,0.792,0.5967185611967718,0.3666076130090876,0.7818546692034926,0.781854669235143,0.6074872268736974,0.0833894767707567,0.0
13,0.09282983838357417,1.0,0.128,0.061,0.8109999999999999,0.5150660644995309,0.35123324423846947,0.6131487864489267,0.6131487864737477,0.5453609927851586,0.042896039775081385,1.0
14,0.11896151702597846,1.0,0.157,0.079,0.764,0.704193042983297,0.3532736978459304,0.7654967653519195,0.7654967653829079,0.5551072071292202,0.06908536763941414,0.0
15,0.11534430503539694,0.0,0.066,0.083,0.852,0.669090407201048,0.35180273590158084,0.733464047283322,0.7334640473130137,0.5206978522271279,0.04116051343318017,1.0
16,0.14218587010267203,1.0,0.066,0.043,0.8909999999999999,0.7533578881159664,0.36513850253077473,0.8674838949629035,0.8674838949980205,0.5487083854334021,0.06946445749576918,1.0
17,0.14286202108550505,1.0,0.069,0.044,0.887,0.628155743747711,0.37485446201543027,0.8291910231690321,0.829191023202599,0.40089357050393903,0.09566058678339817,0.0
18,0.1273452116801682,1.0,0.108,0.04,0.852,0.6066296031985772,0.3722982132623523,0.6427644644230116,0.6427644644490317,0.37966243094157565,0.07060163757242255,1.0
19,0.15827731491213315,1.0,0.083,0.024,0.893,0.6257973385444715,0.38690583992656324,0.9263279357364124,0.9263279358245136,0.45251845668255575,0.10131561228459651,1.0
20,0.17879716709661897,1.0,0.058,0.034,0.908,0.6548177985713339,0.40879810959597107,0.9795682948926772,0.9795682949019704,0.5587203521335704,0.14227270946577125,0.0
21,0.16280723773064465,1.0,0.118,0.062,0.82,0.5575687348507934,0.4151224150519859,0.7055960254034048,0.7055960254319684,0.573598927863064,0.08843926509099909,1.0
22,0.1766336696112878,0.5,0.0,0.0,1.0,0.46992438867513414,0.42634863566823705,0.8288975846966853,0.8288975847302402,0.7197458821498526,0.11832257123691065,1.0
23,0.1915080632053856,1.0,0.078,0.0,0.922,0.5455407993231531,0.44189097055838167,0.907081557989718,0.9070815580264381,0.6756407924515744,0.15137909932017757,1.0
24,0.20188637246213426,1.0,0.108,0.0,0.892,0.5527226851235905,0.4580484807621477,0.9350965941656679,0.9350965941529201,0.7218786249804771,0.18322354217812042,1.0
25,0.21239982943006108,0.0,0.066,0.096,0.838,0.6315080222341738,0.4745816656858579,0.9685389185865303,0.9685389186662198,0.6626160181951851,0.2090007574861465,1.0
26,0.23400158511873204,1.0,0.173,0.06,0.767,0.76871529074592,0.49760647232697347,1.0,1.0,0.7282834630289948,0.23899145452620957,1.0
27,0.25049867927519887,0.5,0.12,0.118,0.763,0.9416712882423768,0.5225151645987229,0.9589245269094822,0.9589245269685416,0.8353692233242782,0.27164419284746666,0.0
28,0.2383286833989624,0.0,0.129,0.171,0.7,0.8389816958745564,0.5321067258902552,0.8179936823553969,0.8179936823885106,0.6894137233523003,0.23533237828523007,0.0
29,0.22561778715497405,1.0,0.08800000000000001,0.016,0.8959999999999999,0.7898840775108749,0.5292768784666075,0.7195278416364139,0.7195278416655415,0.5835451452833549,0.19044692219599074,1.0
30,0.23200707382574137,1.0,0.126,0.0,0.8740000000000001,0.7512717757935516,0.5277471173932623,0.7573743157446488,0.7573743157753084,0.6548270757503853,0.2260043157268125,0.0
31,0.2258206118284769,1.0,0.04,0.0,0.96,0.7167589228083577,0.5200110581508239,0.71273588712014,0.7127358871489927,0.5910448782211322,0.18878701694205458,1.0
